,AG Tree (tC/ha),BG Tree (tC/ha),Saplings (tC/ha),Standing Dead Wood (tC/ha),Lying Dead Wood (tC/ha),Sum Carbon pools w/o litter (t C/ha),Litter (tC/ha),Sum all biomass C pools ,,,Soil,,Sum ALL POOLS (t CO2e/ha),Sum aboveground and belowground live tree
tC/ha, 181.1 , 65.0 , 3.5 , 7.3 , 17.1 ,, 3.7 , 277.7 ,,, 60.6 ,,,
tCO2/ha, 664.2 , 238.2 , 12.8 , 26.9 , 62.6 ,, 13.7 ," 1,018.4 ",,, 222.3 ,," 4,549.2 ",902.4
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
