Stratum,Drivers,Emission Factors,,,,,,,,,,
,,tC/ha,t CO2/ha,,,,,,,,,
Combined - all forest,Forestry infrastructure,292.6," 1,073.0 ",,,,,,,,,
,Agriculture,309.3," 1,134.0 ",,,,,,,,,
,Mining (medium and large scale),292.6," 1,073.0 ",,,,,,,,,
,Mining infrastructure,292.6," 1,073.0 ",,,,,,,,,
,Infrastructure,292.6," 1,073.0 ",,,,,,,,,
,Settlements,292.6," 1,073.0 ",,,,,,,,,
,Fire-Biomass burning,," 1,061.9 ",,,,,,,,,
,Shifting Cultivation,," 1,117.4 ",,,,,,,,,
,,,,,,,,,,,,
,Soil,,,,,,,,,,,
,Stratum,C stock   (t C/ha),FLU,FMG,FI,C stock at 20 yr (t C/ha),Change in Soil C (t C/ha),,,,,
,Combined - all forest,60.64,,,,,,,,,,
,Conversion to permanent agriculture,,0.48,1.00,1.00,29.11,31.53,,,,,
,Mining ,,0.82,1.00,0.92,45.74,14.89,,,,,
,Conversion to unpaved roads,,0.82,1.00,0.92,45.74,14.89,,,,,
,Shifting cultivation-short cycle,,0.65,1.00,1.00,39.41,21.22,,,,,
,Shifting cultivation-long cycle,,0.80,1.00,1.00,48.51,12.13,,,,,
,,,,,,,,,,,,
,Fire,,,,,,,,,,,
,Stratum,Total biomass minus BG  (t C/ha),Fire EF CO2 (g/kg dry mass),Global Warming Potential,Combustion factor (dimension-less),Fire Emissions (t CO2e/ha),,,,,,
,Combined - all forest,212.78,,,,,,,,,,
,CO2,,"1,580.00",1,0.50,336.2,,,,,,
,CH4,,6.80,21,0.50,30.4,,,,,,
,N2O,,0.20,310,0.50,13.2,,,,,,
