,,,,,,,,,,,,,
Drivers,units,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Forestry infrastructure,tCO2," 241,594 "," 208,611 "," 289,633 "," 246,058 "," 348,853 "," 308,654 "," 240,095 "," 261,485 "," 244,726 "," 198,233 "," 230,334 "," 89,049 "
Agriculture,," 41,036 "," 435,511 "," 524,714 "," 999,727 "," 494,631 "," 454,779 "," 552,231 "," 329,974 "," 296,250 "," 142,943 "," 494,037 "," 346,261 "
Mining (medium and large scale),," 9,479,796 "," 14,117,045 "," 8,247,622 "," 13,501,339 "," 8,233,168 "," 7,599,187 "," 7,102,450 "," 6,754,722 "," 5,920,926 "," 7,489,151 "," 7,836,082 "," 6,613,094 "
Infrastructure,," 125,288 "," 129,973 "," 354,899 "," 152,950 "," 195,364 "," 253,645 "," 210,808 "," 77,233 "," 34,882 "," 201,456 "," 108,768 "," 125,419 "
Settlements,, -   , -   ," 26,317 "," 78,166 "," 8,034 "," 7,631 "," 6,999 "," 9,689 "," 31,312 "," 57,317 "," 118,436 "," 225,814 "
Fire-Biomass burning,," 55,974 "," 199,540 "," 94,090 "," 319,449 "," 1,946,314 "," 1,649,411 "," 488,624 "," 722,876 "," 6,577,214 "," 3,572,417 "," 234,514 "," 388,036 "
Shifting Cultivation,,,,,,, -   ," 504,442 "," 403,592 "," 568,650 "," 533,776 "," 509,673 "," 121,240 "
Deforestation,," 9,943,689 "," 15,090,681 "," 9,537,275 "," 15,297,689 "," 11,226,365 "," 10,273,308 "," 9,105,650 "," 8,559,570 "," 13,673,960 "," 12,195,294 "," 9,531,843 "," 7,908,913 "
Logging,tCO2," 4,038,126 "," 3,881,426 "," 4,141,325 "," 5,039,508 "," 4,347,758 "," 3,322,073 "," 3,536,460 "," 3,623,602 "," 3,457,291 "," 3,617,714 "," 3,632,052 "," 3,632,059 "
Illegal logging,," 16,464 "," 13,679 "," 14,061 "," 16,819 "," 8,927 "," 13,339 "," 16,051 "," 22,055 "," 12,745 "," 7,596 "," 7,597 "," 7,597 "
Mining and Infrastructure,,,,,, -   ," 264,179 "," 230,094 "," 203,179 "," 165,998 "," 164,318 "," 192,116 "," 192,116 "
Degradation,," 4,038,126 "," 3,881,426 "," 4,141,325 "," 5,039,508 "," 4,347,758 "," 3,586,252 "," 3,766,553 "," 3,826,780 "," 3,623,289 "," 3,782,032 "," 3,824,167 "," 3,824,174 "
,,,,,,,,,,,,,
TOTAL,," 13,981,814 "," 18,972,107 "," 13,678,600 "," 20,337,197 "," 15,574,123 "," 13,859,559 "," 12,872,203 "," 12,386,351 "," 17,297,249 "," 15,977,326 "," 13,356,011 "," 11,733,087 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
separated mining emissions ,,,,,,,,,,,,,
mining AD ,ha,,,,,,," 7,316 "," 7,362 "," 5,760 "," 5,895 ",,
mining emissions,tCO2/ha,,,,,,," 7,691,327 "," 7,740,261 "," 6,056,148 "," 6,197,878 ",,
mining infrastructure AD,ha,,,,,,," 1,027 ", 734 , 708 , 557 ,,
mining infrastructure emissions,tCO2/ha,,,,,,," 1,079,374 "," 771,514 "," 744,188 "," 585,398 ",,
total mining emissions,tCO2,,,,,,," 8,770,701 "," 8,511,775 "," 6,800,336 "," 6,783,276 ",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Drivers,units,2011,2012,2013,2014,2015,,,,,,,
Forestry infrastructure,tCO2," 195,547 "," 252,319 "," 346,938 "," 214,471 "," 329,066 ",,,,,,,
Agriculture,," 45,526 "," 488,574 "," 470,808 "," 907,194 "," 420,840 ",,,,,,,
Mining (medium and large scale),," 7,716,752 "," 14,365,354 "," 12,109,203 "," 11,479,457 "," 7,130,111 ",,,,,,,
Infrastructure,," 313,296 "," 133,519 "," 359,554 "," 148,237 "," 228,138 ",,,,,,,
Settlements,, -   , -   ," 24,181 "," 74,644 "," 8,411 ",,,,,,,
Fire-Biomass burning,," 48,039 "," 192,157 "," 100,256 "," 270,482 "," 1,575,896 ",,,,,,,
Shifting Cultivation,,,,,,,,,,,,,
Deforestation,," 8,319,160 "," 15,431,923 "," 13,410,940 "," 13,094,485 "," 9,692,461 ",,,,,,,
Logging,tCO2," 3,631,919 "," 3,490,982 "," 3,724,737 "," 4,532,569 "," 3,910,404 ",,,,,,,
Illegal logging,," 14,759 "," 12,262 "," 12,605 "," 15,077 "," 8,002 ",,,,,,,
Mining and Infrastructure,,,,,," 222,631 ",,,,,,,
